Key,POS,DictForm,Transliteration,Translation,SpecialTags,LinkedTo,Mnemonic,Chapter,DifficultyPreset,Type,Subtype,Case_,Number,Gender,Person,Tense,Voice,Mood
22,V,διδαξω,didaxo,I will teach,,6,didactic,3,0,ω,,None,1,None,1,F,A,I
23,V,δοξασο,doxaso,I will glorify,,7,doxology,3,0,ω,,None,1,None,1,F,A,I
24,V,ἐτοιμασω,hetoimaso,I will prepare,,8,0,3,0,ω,,None,1,None,1,F,A,I
25,V,ἐξω,hexo,I will have,,9,hectic;habitual,3,0,ω,,None,1,None,1,F,A,I
26,V,θεραπευσω,therapeuso,I will heal,,10,therapy,3,0,ω,,None,1,None,1,F,A,I
27,V,κηρυξω,keruxo,I will preach,,11,kerygma,3,0,ω,,None,1,None,1,F,A,I
28,V,λυσω,luso,I will loose,,12,analysis,3,0,ω,,None,1,None,1,F,A,I
29,V,πεισω,peiso,I will trust,,13,0,3,0,ω,,None,1,None,1,F,A,I
30,V,πεμψω,pempso,I will send,,14,pomp,3,0,ω,,None,1,None,1,F,A,I
31,V,πιστευσω,pisteuso,I will believe,,15,0,3,0,ω,,None,1,None,1,F,A,I
32,V,σωσω,soso,I will save,,16,soteriology,3,0,ω,,None,1,None,1,F,A,I
33,V,ειμι,eimi,I am,Irregular,0,(root εσ; is),3,0,μι,,None,1,None,1,P,A,I
34,B,μη,me,not,,0,0,3,0,N,,,,0,,,,!I
35,B,ου,ou,not,,34,0,3,0,N,,,,0,,,,I
36,N,αγγελος,angelos,Angel; Messenger,,0,angelic,4,0,2,1,N,1,M,,,,
37,N,αγρος,agros,field,,0,agrarian,4,0,2,1,N,1,M,,,,
38,N,αδελφος,adelphos,brother; fellow believer,,0,Philadelphia,4,0,2,1,N,1,M,,,,
39,N,ἀμαρτωλος,hamartolos,sinner,,0,hamartiology,4,0,2,1,N,1,M,,,,
40,N,ανθρωπος,anthropos,man; person,,0,anthropology,4,0,2,1,N,1,M,,,,
41,N,αποστολος,apostolos,apostle; messenger,,0,apostolic,4,0,2,1,N,1,M,,,,
42,N,διακονος,diakonos,minister,,0,deacon,4,0,2,1,N,1,M,,,,
43,N,δουλος,doulos,servant; slave,,0,0,4,0,2,1,N,1,M,,,,
44,N,θανατος,thanatos,death,,0,euthanasia,4,0,2,1,N,1,M,,,,
45,N,θεος,theos,God,,0,theology,4,0,2,1,N,1,M,,,,
46,N,Ἰησους,Hiesous,Jesus,,0,-,4,0,2,1,N,1,M,,,,
47,N,κοσμος,kosmos,world,,0,cosmic,4,0,2,1,N,1,M,,,,
48,N,κυριος,kurios,Lord; master,,0,0,4,0,2,1,N,1,M,,,,
49,N,λιθος,lithos,stone,,0,lithosphere,4,0,2,1,N,1,M,,,,
50,N,λογος,logos,word; message,,0,logical,4,0,2,1,N,1,M,,,,
51,N,νομας,nomos,law,,0,antinomian,4,0,2,1,N,1,M,,,,
52,N,οικος,oikos,house; household,,0,economy,4,0,2,1,N,1,M,,,,
